Place of interest;Type of place;Place address;BiciMAD station;Station location
Instalación Deportiva  Básica Embalse de San Juan;Instalación deportiva;Calle Embalse De San Juan 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Alto del Retiro;Instalación deportiva;Calle Alto Del Retiro 13 C/V Calle Antonio Gades;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de Cerro Milano;Instalación deportiva;Avenida Cerro Milano 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida de las Suertes;Instalación deportiva;Avenida Avenida De Las Suertes ;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Ensanche de Vallecas;Instalación deportiva;Avenida Ensanche De Vallecas 11;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Avenida del Mediterráneo;Instalación deportiva;Inst. Deportiva Basica Luis Mitjans ;Valderribas;Calle Doctor Esquerdo nº 191
Instalación Deportiva Básica Camino de la Suerte;Instalación deportiva;Camino Suerte 25;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Circuito de Automodelismo;Instalación deportiva;Calle Navamures 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Colonia Vilda;Instalación deportiva;Calle Puentelarra 1 C/V Avda. Sta. Eugenia;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Eduardo Chillida;Instalación deportiva;Calle Eduardo Chillida 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo);Instalación deportiva;Jardin Jose Luis Sampedro ;Fernando el Católico;Calle Fernando el Católico nº 19
Instalación Deportiva Básica Jardines del Teniente Alcalde;Instalación deportiva;Calle Jardines Del Teniente Alcalde 49;Canal;Calle José Abascal frente al nº 2
Instalación Deportiva Básica La Unión;Instalación deportiva;Calle Enrique Garcia Alvarez 58 C/V Diego Olivera Victorio, 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Nuestra Señora de la Torre;Instalación deportiva;Travesia Puerto De Reinosa 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica P.A.R. Castrillo de Aza;Instalación deportiva;Avenida Santa Eugenia 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parkour;Instalación deportiva;Avenida La Gavia 39;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Real de Arganda;Instalación deportiva;Calle Real De Arganda 45;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Santa Eugenia;Instalación deportiva;Calle Zazuar 12;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque Villa de Vallecas;Instalación deportiva;Calle Puerto De Porzuna 50;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parque de Enrique Herreros;Instalación deportiva;Calle Bravo Murillo 49;Canal;Calle José Abascal frente al nº 2
Instalación Deportiva Básica Parque del Cementerio;Instalación deportiva;Calle Montes De Barbanza 15;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Parroquia Santa Eugenia;Instalación deportiva;"Calle Virgen De Las Vi&Amp;Ntilde;As 15";Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Peñaranda de Bracamonte;Instalación deportiva;Calle Peñaranda De Bracamonte 4;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Pista de Patinaje;Instalación deportiva;Calle Puerto De Porzuna;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Poza de la Sal;Instalación deportiva;Calle Poza De La Sal 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puentelarra;Instalación deportiva;Calle Puentelarra 12;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Puerto Lumbreras;Instalación deportiva;Inst. Deportiva Basica Poza De La Sal ;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Rocódromo;Instalación deportiva;Avenida La Gavia 4 C/V Avenida Cerro Milano;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Sala Municipal de Esgrima;Instalación deportiva;Avenida Filipinas 7;Parque Santander;Calle Santander esquina con Avenida de Filipinas
Instalación Deportiva Básica Santa Eugenia;Instalación deportiva;Calle Cerro De Almodovar 11;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Skate Real de Arganda;Instalación deportiva;Calle Real De Arganda 49;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Básica Stela Maris;Instalación deportiva;Calle Peñaranda De Bracamonte 4;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez;Instalación deportiva;Avenida Abrantes 297;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Alameda de Osuna I;Instalación deportiva;Calle Balandro 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alas;Instalación deportiva;Calle Alas 2;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Albaicín;Instalación deportiva;Calle Albaicin 19 Orcasur;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Albaida;Instalación deportiva;Calle Albaida S/N Parque De San Blas;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga;Instalación deportiva;Calle Alcalde Martin De Alzaga S/N;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Alerce;Instalación deportiva;Calle Alerce 31 Junto M-40;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Alfonso XIII;Instalación deportiva;Avenida Alfonso Xiii 136 C/V Santa María Magdalena, 2;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Alhaurín;Instalación deportiva;Calle Alhaurin 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Alicún;Instalación deportiva;Calle Alicun 24;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Aliseda;Instalación deportiva;Calle Aliseda C/V Real Betis;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Almudena;Instalación deportiva;Calle Nicolas Salmeron 8;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso);Instalación deportiva;Calle Ajofrin S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Americio;Instalación deportiva;Calle Americio S/N;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Ana Tutor;Instalación deportiva;Avenida Cardenal Herrera Oria 216;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Andévalo;Instalación deportiva;Calle Andevalo 6 Aparcamiento;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Anfevi;Instalación deportiva;Calle Hacienda De Pavones 127 Posterior;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Aniceto Marinas;Instalación deportiva;Calle Aniceto Marinas 106;INEF;Avenida Juan de Herrera frente a la calle Paul Guinard
Instalación Deportiva Municipal Básica Antonio Machado;Instalación deportiva;Calle Antonio Machado 14 Posterior;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Antonio Pirala;Instalación deportiva;Calle Antonio Pirala S/N;Puente de Ventas;Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Arcaute;Instalación deportiva;Avenida Invierno 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arcos de Jalón;Instalación deportiva;Calle Arcos De Jalon S/N C/V Albericia;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arequipa;Instalación deportiva;Calle Arequipa 12;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Arganda;Instalación deportiva;Calle Arganda 10;Madrid Río-Yeserías;Paseo de Yeserías nº 45
Instalación Deportiva Municipal Básica Arjona;Instalación deportiva;Calle Concejal Francisco Jose Jimenez Martin 11;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Arriaga;Instalación deportiva;Avenida Daroca 95;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Arroyo Belincoso;Instalación deportiva;Avenida Doctor Garcia Tapia 76 C/V Calle Arroyo Belincoso;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Arroyo Fontarrón;Instalación deportiva;Calle Arroyo Fontarron 381;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Arroyo Media Legua;Instalación deportiva;Inst. Deportiva Basica Arroyo De La Media Legua ;Marqués de Corbera 52;Avenida Marqués de Corbera nº 52
Instalación Deportiva Municipal Básica Arroyo de Opañel;Instalación deportiva;Calle Arroyo Opañel 12;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Aster;Instalación deportiva;Avenida Aster 54 Posterior;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Auditorio de Chamartín;Instalación deportiva;Plaza Joaquin Rodrigo 1;María Francisca 1;Calle María Francisca nº 1
Instalación Deportiva Municipal Básica Auditorio de Moratalaz;Instalación deportiva;Calle Hacienda De Pavones 209;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30;Instalación deportiva;Calle Ramon Areces 1 Frente Avda. Moratalaz, 13;Camino Vinateros;Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Avenida San Luis I;Instalación deportiva;Avenida San Luis (Frente Al Nº 86);Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Avenida de Burgos;Instalación deportiva;Avenida Burgos 18;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Ayacucho;Instalación deportiva;Calle Nevado Del Ruiz 2;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Bacares;Instalación deportiva;Calle Bacares 9;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Bacares (fútbol);Instalación deportiva;Calle Bacares 27;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Bahía de Santander II;Instalación deportiva;Calle Bahia De Santander 64;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Barceló;Instalación deportiva;Plaza Barcelo S/N;Barceló;Calle Barceló nº 7
Instalación Deportiva Municipal Básica Barrio El Querol - Spartak de Manoteras;Instalación deportiva;Calle Tijola 1;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Barrio Goya;Instalación deportiva;Calle Sepulveda 9;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Barrio IV;Instalación deportiva;Calle Luis De Hoyos Sainz 150;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas;Instalación deportiva;Camino Montoro 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete;Instalación deportiva;Calle Hospitalet De Llobregat 11;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Barrio del Aeropuerto;Instalación deportiva;Calle Medina De Pomar 14;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría;Instalación deportiva;Calle Juan Pérez Zúñiga S/N Baterías, 2;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Belzunegui;Instalación deportiva;Calle Belzunegui  C/V Berrioplana;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Bolera de la Mancha;Instalación deportiva;Calle Tomelloso 21 Próximo A La Av. De Córdoba (P.D. Almendral);Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Boston;Instalación deportiva;Calle Boston 1;Camilo José Cela;Avenida de Camilo José Cela nº 23
Instalación Deportiva Municipal Básica Brasil - General Yagüe;Instalación deportiva;Avenida Brasil 19 C/V C/ General Yagüe;San Germán 5;Calle San Germán nº 5
Instalación Deportiva Municipal Básica Briviesca;Instalación deportiva;Calle Briviesca 4;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Brujas;Instalación deportiva;Calle Brujas 32 Esquina C/ Hacienda De Pavones;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Brunete;Instalación deportiva;Calle Brunete 1;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Bucaramanga;Instalación deportiva;Avenida Bucaramanga  C/V Mar Adriático;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Burgo de Osma;Instalación deportiva;Calle Burgo De Osma 5;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino;Instalación deportiva;Glorieta Rio Zancara 1;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Calanda;Instalación deportiva;Calle Calanda 30;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Caleruega;Instalación deportiva;Calle Caleruega 52;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Camino Viejo de Leganés;Instalación deportiva;Calle Camino Viejo De Leganes S/N Carrero Juan Ramón;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Campo Aragón;Instalación deportiva;Avenida Rafael Alberti 2;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita;Instalación deportiva;Calle General Ricardos 166;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Campo de Fútbol Rodríguez Sahagún;Instalación deportiva;Calle Capitan Blanco Argibay S/N C/V Cº Del Chorrillo;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres;Instalación deportiva;Paseo Ermita Del Santo S/N Parque De San Isidro;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra;Instalación deportiva;Avenida Doctor Garcia Tapia 113;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Campo de fútbol Orcasitas;Instalación deportiva;Avenida Rafaela Ybarra 119;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Canal de Panamá;Instalación deportiva;Calle Canal De Panama S/N;Derechos Humanos;Calle Derechos Humanos nº 12
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas;Instalación deportiva;Calle Agustin De Iturbide 1;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Carlos II;Instalación deportiva;Calle Carlos Ii 4 Con Austria, 5;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Carlos Solé;Instalación deportiva;Calle Carlos Sole 19;Sierra Toledana;Camino de Valderribas nº 94
Instalación Deportiva Municipal Básica Carmen Amaya;Instalación deportiva;Avenida Doctor Garcia Tapia 28-30;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Caronte;Instalación deportiva;Calle Caronte 4;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Carril del Conde;Instalación deportiva;Calle Carril Del Conde Frente Nº 57 C/V Puerto Real;Condesa de Venadito;Calle Condesa de Venadito nº 2
Instalación Deportiva Municipal Básica Carrión de los Condes;Instalación deportiva;Plaza Templarios 4;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Casa Campo;Instalación deportiva;Parque Casa De Campo S/N Explanada De La Casa De Campo;Puerta del Ángel;Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo I Lago;Instalación deportiva;Parque Casa De Campo S/N Explanada Junto Al Lago;Puerta del Ángel;Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo II Teleférico;Instalación deportiva;Parque Casa De Campo S/N Subida Al Teleférico-Pza. Casón;Puerta del Ángel;Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Casa Campo III;Instalación deportiva;Parque Casa Campo S/N Paseo Piñoneros - Junto A Pirámide;Paseo de Moret;Paseo de Moret nº 11
Instalación Deportiva Municipal Básica Casa Campo IV;Instalación deportiva;Parque Casa Campo S/N Junto A La M-30 A La Altura Del C.D.M. José María Cagigal;INEF;Avenida Juan de Herrera frente a la calle Paul Guinard
Instalación Deportiva Municipal Básica Casalarreina;Instalación deportiva;Calle Casalarreina 28;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Casino de la Reina;Instalación deportiva;Calle Casino 3;Embajadores 2;Glorieta de Embajadores nº 2
Instalación Deportiva Municipal Básica Castroserna;Instalación deportiva;Calle Castroserna 2;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Cazorla;Instalación deportiva;Calle Campillo De Arenas 3 C/V Calle Cazorla - C/V Calle Ibros, 3;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Cementerio Civil;Instalación deportiva;Avenida Daroca 101;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Cerro Blanco;Instalación deportiva;Calle Albardin 7 C/V Cerro Blanco, 30;San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Básica Cerro Cabezuelos;Instalación deportiva;Calle Villalobos 46;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Cerro Negro;Instalación deportiva;Calle Cerro Negro 5;Puente de Vallecas;Avenida de la Albufera nº 6
Instalación Deportiva Municipal Básica Circuito Natural Footing Retiro;Instalación deportiva;Parque El Retiro ;Antonio Maura;Calle Antonio Maura nº 15
Instalación Deportiva Municipal Básica Circuito de Footing Casa de Campo;Instalación deportiva;Parque Casa De Campo ;Puerta del Ángel;Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Ciudad Pegaso I;Instalación deportiva;Calle Uno S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad Pegaso II;Instalación deportiva;Calle Seis S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad Pegaso III;Instalación deportiva;Calle Once S/N;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Ciudad de Los Ángeles;Instalación deportiva;Calle Anoeta S/N Parque Ciudad De Los Ángeles;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Clara del Rey;Instalación deportiva;Calle Clara Del Rey 61;Corazón de María;Calle Santa Hortensia nº 31
Instalación Deportiva Municipal Básica Club Deportivo Alzola;Instalación deportiva;Calle Segura 74 C/V Gainza, 22;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Club de Petanca Esperanza de Canilllas;Instalación deportiva;Calle Silvano 63 C/V Andorra;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Club de Petanca Peonias;Instalación deportiva;Calle Peonias 2;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal);Instalación deportiva;Calle San Lamberto S/N;Marqués de Corbera 52;Avenida Marqués de Corbera nº 52
Instalación Deportiva Municipal Básica Cocheras (Retiro);Instalación deportiva;Calle Cocheras 1;Pedro Bosch;Calle Cerro de la Plata nº 2
Instalación Deportiva Municipal Básica Colombia;Instalación deportiva;Calle Colombia 59;Colombia;Calle Colombia nº 7
Instalación Deportiva Municipal Básica Colonia Euskalduna;Instalación deportiva;Calle Hermandad De Donantes De Sangre 7;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Colonia Marconi;Instalación deportiva;Avenida Marconi S/N;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Colonia San Cristóbal de Los Ángeles;Instalación deportiva;Calle Rocafort S/N Detrás De E. I. Los Pinos.;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Colonia Sierra del Valle;Instalación deportiva;Calle Payaso Fofo 7;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Colonia los Taxistas;Instalación deportiva;Calle Sierra De Cuerda Larga 41, 43, 45 Y 47;Sierra Toledana;Camino de Valderribas nº 94
Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde);Instalación deportiva;Calle Cuart De Poblet 6 C/V Duquesa De Parcent;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Conde Duque;Instalación deportiva;Calle Santa Cruz De Marcenado 21;Conde Duque;Calle Conde Duque nº 22
Instalación Deportiva Municipal Básica Condesa de Venadito;Instalación deportiva;Calle Condesa De Venadito 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Cordel de Pavones;Instalación deportiva;Calle Cordel De Pavones 11;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Cordel de Pavones I;Instalación deportiva;Calle Cordel De Pavones 9;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Corregidor Diego de Valderrábano;Instalación deportiva;Calle Corregidor Diego De Valderrabano 24;Camino Vinateros;Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Cuevas de Almanzora;Instalación deportiva;Calle Mojacar 2;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Cuña Verde;Instalación deportiva;Inst. Deportiva Basica Cuña Verde Villaamil 126;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Cárcavas Oeste I;Instalación deportiva;Calle Carmen Rico Godoy 40;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Cárcavas Oeste II;Instalación deportiva;Calle San Andres De Rabanedo 1;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica David González Rubio;Instalación deportiva;Calle Doctor Tolosa Latour 6-10 Parque Pradolongo;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Dehesa del Príncipe;Instalación deportiva;Avenida Arqueros 29;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Diana;Instalación deportiva;Calle Galeon 25;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Doctor Cirajas;Instalación deportiva;Calle Doctor Cirajas 3;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Doctor Vallejo-Nájera;Instalación deportiva;Calle Gasometro 32 C/V Vallejo Nájera;Paseo de la Esperanza;Paseo de la Esperanza nº 2
Instalación Deportiva Municipal Básica Drácena;Instalación deportiva;Calle Dracena 42;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Duque de Sevilla;Instalación deportiva;Calle Duque De Sevilla 1;María Francisca 1;Calle María Francisca nº 1
Instalación Deportiva Municipal Básica Echegaray;Instalación deportiva;Calle Encomienda De Palacios 324;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica El Bosco;Instalación deportiva;Calle El Bosco 14 Frente Ramón Pérez De Ayala;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica El Bosque;Instalación deportiva;Plaza Golmayo 17;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica El Capricho I;Instalación deportiva;Paseo Alameda De Osuna 48;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica El Capricho II;Instalación deportiva;Paseo Alameda De Osuna 46;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica El Cruce;Instalación deportiva;Calle Santiago Amon 6Y8;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica El Espinillo I;Instalación deportiva;Calle Tertulia 7;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica El Espinillo II;Instalación deportiva;Calle Consenso 5;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica El Espinillo III;Instalación deportiva;Calle Unanimidad S/N;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica El Parque;Instalación deportiva;Paseo Comandante Fortea 25;Paseo de Moret;Paseo de Moret nº 11
Instalación Deportiva Municipal Básica El Pedernoso - Parque de Villa Rosa - Paco Caño;Instalación deportiva;Calle Pedroñeras 42;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica El Plantío;Instalación deportiva;Calle Rafael Villa S/N Esq. Carlos Dubois;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica El Torero;Instalación deportiva;Calle Torero 10 C/V Antonio López (Parque El Torero);San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Básica El Vandel;Instalación deportiva;Calle Florencio Cano Cristobal 9 Esq. Pasaje Poveda;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Electra;Instalación deportiva;Calle Cronos 65;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Enrique Tierno Galván;Instalación deportiva;Parque Enrique Tierno Galvan ;Juan Martín;Calle Juan Martín el Empecinado nº 16
